Class,AngleCh1,AreaCh1,AvgIntenCh1,AvgIntenCh2,AvgIntenCh3,AvgIntenCh4,ConvexHullAreaRatioCh1,ConvexHullPerimRatioCh1,DiffIntenDensityCh1,DiffIntenDensityCh3,DiffIntenDensityCh4,EntropyIntenCh1,EntropyIntenCh3,EntropyIntenCh4,EqCircDiamCh1,EqEllipseLWRCh1,EqEllipseOblateVolCh1,EqEllipseProlateVolCh1,EqSphereAreaCh1,EqSphereVolCh1,FiberAlign2Ch3,FiberAlign2Ch4,FiberLengthCh1,FiberWidthCh1,IntenCoocASMCh3,IntenCoocASMCh4,IntenCoocContrastCh3,IntenCoocContrastCh4,IntenCoocEntropyCh3,IntenCoocEntropyCh4,IntenCoocMaxCh3,IntenCoocMaxCh4,KurtIntenCh1,KurtIntenCh3,KurtIntenCh4,LengthCh1,NeighborAvgDistCh1,NeighborMinDistCh1,NeighborVarDistCh1,PerimCh1,ShapeBFRCh1,ShapeLWRCh1,ShapeP2ACh1,SkewIntenCh1,SkewIntenCh3,SkewIntenCh4,SpotFiberCountCh3,SpotFiberCountCh4,TotalIntenCh1,TotalIntenCh2,TotalIntenCh3,TotalIntenCh4,VarIntenCh1,VarIntenCh3,VarIntenCh4,WidthCh1,XCentroid,YCentroid
1,133.7520367,819,31.92327366,206.8785166,69.9168798,164.1534527,1.263157895,0.797080137,31.875,43.12228261,79.30842391,6.087592192,6.642760653,7.880154718,32.30558435,1.558394192,2232.905485,1432.824568,3278.725624,17653.52453,1.487935411,1.352374247,64.28230161,13.16707906,0.028051061,0.012594975,8.227952946,6.984045666,6.822137584,7.098988428,0.153214774,0.073871409,-0.248769067,-0.3307839,-0.265263786,47.21854801,174.4441571,30.11114144,81.38063275,154.8987613,0.539758367,1.468180853,2.255810381,0.398704675,0.619730786,0.527263129,4,12,24964,160998,54675,128368,18.80922518,56.71535241,118.3881387,32.16126127,215,347
0,106.6463873,431,28.03883495,116.315534,63.94174757,106.6966019,1.0533099,0.935474953,32.48771022,35.98576973,51.35705045,5.883556549,6.683000029,7.144601169,23.44891933,1.375386188,802.1945439,583.2503997,1727.410431,6750.98464,1.300521979,1.522315824,21.14114958,21.14114958,0.006862315,0.006141691,14.44607377,16.70084349,7.580100239,7.671478219,0.028350515,0.023195876,-0.29348463,1.051281336,0.150614006,28.14303145,158.477377,34.94476529,90.43768255,84.56459831,0.724311593,1.328408488,1.272192652,0.472487087,0.971378787,0.324706504,2,7,11552,47511,26344,43959,17.29564305,37.67105331,49.47052362,21.18552516,371,252
1,69.15032481,298,19.45614035,102.2947368,28.21754386,31.02807018,1.202625103,0.865829114,26.73228346,22.91732283,26.39370079,5.420064932,5.436731689,5.778329481,19.50278596,3.391220219,724.71431,213.7031108,1194.931973,3884.083751,1.220423901,1.733250444,43.14112283,7.404412416,0.030962071,0.011033195,7.299457364,13.39088372,6.312640992,7.197026099,0.162790698,0.07751938,0.625856124,0.127740607,-0.347293645,37.85957374,206.3343687,33.0802981,116.892757,101.0910705,0.589162545,2.826853999,2.545840018,0.881671384,0.999892798,0.604439876,4,8,5545,28870,8042,8843,13.81896761,30.00564346,24.74953662,13.39282954,487,295
0,109.4164263,256,18.82857143,126.9387755,13.6,46.8,1.081871345,0.92045952,28.02004454,14.87082405,32.69710468,5.383272179,4.151182729,6.194034574,18.08244974,1.378747851,368.3096529,267.1334375,1027.222222,3095.782368,1.364235988,1.480868569,22.29743378,12.0578761,0.108161298,0.00995183,6.160584593,10.5906854,5.04406683,7.126899928,0.315315315,0.058558559,-0.364691438,1.083332859,-0.626270376,23.05546837,263.634513,38.43037849,88.50410555,68.71061976,0.634791385,1.313936897,1.397364141,0.546737216,1.432363175,0.703800653,0,6,4613,30856,3332,11466,13.92293659,18.64302682,40.33174675,17.54686121,211,495
1,104.278654,258,17.5708502,125.3684211,22.46153846,71.20647773,1.075728155,0.931300186,27.87610619,16.11946903,36.18584071,5.18427761,5.486224638,6.624639016,18.15610565,1.616052888,403.6405276,249.7693798,1035.60771,3133.767164,1.359418412,1.244307808,26.52855663,10.17423916,0.013034881,0.00896299,9.402056404,10.30152761,6.957487102,7.144783788,0.073913043,0.034782609,-0.556261231,-0.512318606,-0.647157527,26.31960384,231.1529454,29.84892041,103.4581205,73.40559159,0.557002198,1.490322717,1.588657528,0.443092384,0.555675494,0.137225245,1,5,4340,30720,5548,17588,12.32497056,17.74714262,41.92853326,17.66033862,172,207
1,77.99194293,358,42.28362573,218.1315789,42.32163743,67.54093567,1.037830121,0.961269792,43.309375,43.365625,56.04375,6.136582657,5.870026948,5.995699341,21.36423161,1.468210244,626.8373045,426.9397433,1433.918367,5105.760685,1.478963805,1.466576856,25.12695833,14.61088609,0.024982639,0.044225099,11.84107694,8.084775898,6.794863681,6.361635058,0.140127389,0.199386503,-0.261787171,0.809501426,0.728679348,27.80420845,213.9487107,11.44653846,105.150592,79.47568883,0.663542429,1.430952882,1.369114247,0.256518283,1.071093986,1.045446205,1,6,14461,74260,14474,23099,20.95647734,42.31636004,66.96570928,19.43055484,276,385
1,13.65997247,158,31.41059603,103.2119205,41.49006623,116.1192053,1.379310345,0.896038691,38.45038168,37.64885496,74.92366412,5.756260909,5.814347432,6.121377485,14.19589238,1.477693688,184.4926974,124.8517868,633.1043084,1497.913437,1.724509883,1.597204583,27.63248638,6.050329865,0.012319717,0.020887482,11.91357809,6.154895105,6.796919987,6.485465186,0.068181818,0.113636364,-0.365908061,-0.278824669,-0.707398536,20.56691127,228.9701266,17.4047619,112.5612256,67.36563249,0.442380807,1.182276747,2.16005758,0.418079473,0.881334809,0.725883897,4,5,4743,15435,6265,17534,20.5858794,40.65309019,109.6436085,17.39602113,239,404
0,106.8443693,315,294.7674419,492.7342193,193.4352159,400.4518272,1.014516129,0.977543717,154.5780142,100.3156028,237.4078014,7.402634951,6.761025073,7.56094162,20.04275752,1.016647055,430.6816789,423.6294952,1262.015873,4215.713021,1.273583156,1.018974888,16.75357915,16.75357915,0.033156657,0.009490846,5.696808511,8.225177305,6.390147174,7.161842452,0.163120567,0.046099291,38.97428498,-1.190249178,-1.332875189,21.28783575,288.1973438,49.92580663,119.6399869,67.0143166,0.716174029,1.028671631,1.099822815,5.27421649,0.177126588,0.223907829,2,3,88725,148013,58224,120536,201.3686865,152.3121029,305.5828294,20.69449093,95,95
0,84.65403573,246,582.7957447,245.3446809,86.4,65.88085106,1.038539554,0.969827751,200.1177829,72.56120092,35.61893764,7.635006787,5.632882265,6.084398035,17.70957568,1.262645229,331.1036854,262.2301799,985.2947846,2908.192092,1.584840013,1.353767011,15.49200722,15.49200722,0.07645199,0.032624874,6.114593557,6.527394922,5.801393146,6.449431198,0.266055046,0.169724771,-0.948377364,1.287498568,-0.180978389,20.86406306,301.1751295,19.23563457,121.8608953,61.96802889,0.673871959,1.190882644,1.182681144,0.076364017,1.425262963,0.564283397,2,6,136957,57422,20304,15482,307.2961853,110.3515157,52.98681746,17.51983133,438,16
0,123.7938706,223,375.0469484,293.1830986,112.1032864,464.5446009,1.011261261,0.985819842,124.2977099,78.97455471,281.8346056,7.502269362,5.413552423,6.766259887,16.86025063,1.115270811,268.5227731,240.7691212,893.0544218,2509.52023,1.332004856,1.29896667,14.19405534,14.19405534,0.085737288,0.025473449,4.467160468,8.883326427,5.375852141,6.578455584,0.289340102,0.137055838,-0.765524748,7.549969634,-1.20162081,18.73833939,249.1644887,38.55292031,114.0221318,56.77622136,0.699361822,1.099882236,1.102374678,-0.123165037,2.514234782,0.200492536,2,2,79885,62236,23878,98948,164.7808835,179.7915816,363.4998681,17.03667791,386,14
